disease,symptom
C0020538, C0008031 C0392680 C0012833 C0004093 C0085639 C0039070 C0042571 C0038990 C0030252 C0027497 C0002962 C0438716
C0011847, C0032617 C0085602 C0392680 C0008031 C0004093 C0027497 C0085619 C0034642 C0038990 C0241526 C0856054 C0042571 C0042963 C0553668
C0011570, C0424000 C0438696 C0233762 C0150041 C0424109 C0917801 C0424230 C0022107 C0312422 C0344315 C0233763 C0233481 C0085631 C0040822 C0728899 C0424068 C0455769 C1299586 C0028084 C0235198 C0237154
C0010054, C0008031 C0002962 C0392680 C0086439 C0038990 C0438716 C0231807 C0085619 C0232292
C0032285, C0010200 C0015967 C0029053 C0392680 C0034642 C0239134 C0008033 C0457096 C0238844 C0085593 C0035508 C0457097 C0850149 C0043144 C0019079 C0476273 C0231835 C0231218 C0028081
C0018802, C0392680 C0085619 C0240100 C0034642 C0013404 C0010200 C0043144
C0038454, C0013362 C0004093 C0234518 C0427055 C0018991 C0241526 C0036572 C0028643
C0004096, C0043144 C0010200 C0392680 C0232292 C0850149 C0008033 C0239134 C0436331 C0476273
C0027051, C0008031 C0520886 C0038990 C0392680 C0520887 C0086439 C0002962 C0438716 C0520888 C0085619 C0034642 C0232292 C1305739 C0030252 C0013404 C0235710 C0428977 C0039070
C0020443, C0030193 C0008031 C0038990 C0337672 C0438716 C0039070 C0028643 C0235710 C0392680 C0520887 C0233481 C0520888 C0428977 C0013404
C0021311, C0015967 C0041834 C0029053 C0019214 C0085593 C0033774 C0011991 C0549483 C0038999 C0030193 C0277797 C0010200
C0042029, C0015967 C0013428 C0018965 C0235634 C0023380 C0004093 C0020625 C0578150 C0476273 C0241705 C0856054 C0239110
C0002871, C0085593 C0744492 C0746619 C0013491 C1269955 C0019080 C0030232 C0004093 C0015672 C0744740 C0004604 C0149746 C0020625 C0012833 C0392680 C0030193 C0035508 C0003862 C0038999 C1096646
C0024117, C0392680 C0043144 C0010200 C0013404 C0476273 C0241235 C0700292 C0020440 C0376405 C0232292
